spectrum_path,valid_fraction
DeMeo2009data_gp/a000150.sp24.txt,0.9551
DeMeo2009data_gp/a001126.sp04.txt,0.9551
DeMeo2009data_gp/a001329.sp16.txt,0.9551
DeMeo2009data_gp/a138258.sp11.txt,0.9551
Binzel2019data_gp/a068216.visnir.txt,0.9551
Binzel2019data_gp/a096590.visnir.txt,0.9551
Binzel2019data_gp/a152931.visnir.txt,0.9551
Binzel2019data_gp/a413038.visnir.txt,0.9551
DeMeo2009data_gp/a000008.sp17.txt,0.9576
DeMeo2009data_gp/a000133.sp06.txt,0.9576
DeMeo2009data_gp/a000742.sp21.txt,0.9576
DeMeo2009data_gp/au2000PG3.sp01.txt,0.9576
Binzel2019data_gp/a003674.visnir.txt,0.9576
Binzel2019data_gp/a242187.visnir.txt,0.9576
Binzel2019data_gp/a345705.visnir.txt,0.9576
DeMeo2009data_gp/a000010.sp28.txt,0.9601
DeMeo2009data_gp/a000170.sp06.txt,0.9601
DeMeo2009data_gp/a000706.sp49.txt,0.9601
DeMeo2009data_gp/a006455.sp19.txt,0.9601
Binzel2019data_gp/a100926.visnir.txt,0.9601
Binzel2019data_gp/a154029.visnir.txt,0.9601
Binzel2019data_gp/a285263.visnir_xth.txt,0.9601
Binzel2019data_gp/au2007RU17.visnir.txt,0.9601
DeMeo2009data_gp/a000011.sp47.txt,0.9626
DeMeo2009data_gp/a000234.txt,0.9626
DeMeo2009data_gp/a000832.sp23.txt,0.9626
DeMeo2009data_gp/a003122.sp27.txt,0.9626
DeMeo2009data_gp/au2001XN254.sp12.txt,0.9626
DeMeo2009data_gp/au2002AV.sp09.txt,0.9626
Binzel2019data_gp/a139622.visnir.txt,0.9626
Binzel2019data_gp/a163000.visnir.txt,0.9626
Binzel2019data_gp/au2004QD3.visnir.txt,0.9626
DeMeo2009data_gp/a000026.sp08.txt,0.9651
DeMeo2009data_gp/a000103.sp07.txt,0.9651
DeMeo2009data_gp/a000147.sp24.txt,0.9651
DeMeo2009data_gp/a000661.sp21.txt,0.9651
DeMeo2009data_gp/a000863.sp09.txt,0.9651
DeMeo2009data_gp/a001228.sp21.txt,0.9651
DeMeo2009data_gp/a006047.sp45.txt,0.9651
DeMeo2009data_gp/a019127.sp25.txt,0.9651
DeMeo2009data_gp/a162058.sp26.txt,0.9651
Binzel2019data_gp/a004183.visnir.txt,0.9651
Binzel2019data_gp/a007358.visnir.txt,0.9651
Binzel2019data_gp/a068372.visnir.txt,0.9651
Binzel2019data_gp/a153814.visnir.txt,0.9651
DeMeo2009data_gp/a000005.sp28.txt,0.9676
DeMeo2009data_gp/a000066.sp48.txt,0.9676
DeMeo2009data_gp/a000114.sp52.txt,0.9676
DeMeo2009data_gp/a000158.sp21.txt,0.9676
DeMeo2009data_gp/a000188.sp12.txt,0.9676
DeMeo2009data_gp/a000354.sp12.txt,0.9676
DeMeo2009data_gp/a000389.sp08.txt,0.9676
DeMeo2009data_gp/a000625.sp04.txt,0.9676
DeMeo2009data_gp/a001620.sp03.txt,0.9676
